"type","language","content_id","slug","url","lastmod","image_count","first_image","all_images","source_sitemap"
"category","ar","c371529623","18-نيكوتين","https://saudivapes.com/ar/18-نيكوتين/c371529623","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c390558684","عروض-تصفية","https://saudivapes.com/ar/عروض-تصفية/c390558684","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c412535444","مزاج-5000","https://saudivapes.com/ar/مزاج-5000/c412535444","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c48202285","سيقار","https://saudivapes.com/ar/سيقار/c48202285","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c513637530","بودات-مزاج-600","https://saudivapes.com/ar/بودات-مزاج-600/c513637530","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c532207655","ملحقات-accessories","https://saudivapes.com/ar/ملحقات-accessories/c532207655","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c554573727","بف-مي","https://saudivapes.com/ar/بف-مي/c554573727","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c587623817","6-نيكوتين","https://saudivapes.com/ar/6-نيكوتين/c587623817","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c640187172","بودات-pods","https://saudivapes.com/ar/بودات-pods/c640187172","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c681123545","نكهات-فيب-شيشة","https://saudivapes.com/ar/نكهات-فيب-شيشة/c681123545","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c694576354","مزاج-5500","https://saudivapes.com/ar/مزاج-5500/c694576354","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c729789084","قمي-بلس","https://saudivapes.com/ar/قمي-بلس/c729789084","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c856338910","سحبة-سيجارة-vape-pen","https://saudivapes.com/ar/سحبة-سيجارة-vape-pen/c856338910","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c869730279","مزاج-2000","https://saudivapes.com/ar/مزاج-2000/c869730279","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c88396189","مزاج-1200","https://saudivapes.com/ar/مزاج-1200/c88396189","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c896991374","3-نيكوتين","https://saudivapes.com/ar/3-نيكوتين/c896991374","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c972616125","افضل-شيشة-الكترونية-2025","https://saudivapes.com/ar/افضل-شيشة-الكترونية-2025/c972616125","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c977320676","مزاج-600","https://saudivapes.com/ar/مزاج-600/c977320676","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
"category","ar","c996279841","معسلات","https://saudivapes.com/ar/معسلات/c996279841","","0","","","https://saudivapes.com/ar/sitemap-1.xml"
